ID,R,G,B,Saturacao,Claros,Escuros,Textura,Circularidade
0,43,40,39,26.26528662420382,0,5353,2.9510414910747937,0.8206457820856524
1,101,98,94,18.69918699186992,0,0,4.9363768801178605,0.002389795046772009
2,32,30,31,19.79594472426708,0,7185,3.0857008942337343,0.8175052783506737
3,33,32,32,17.466183574879228,0,6044,3.202910336793778,0.8332467920198415
4,46,45,43,19.81548069644209,0,4277,2.930652413745846,0.8595287839028126
9,97,96,92,17.359649122807017,0,4,2.846679412067016,0.0042869568216995805
11,91,90,87,15.210169491525424,0,17,3.320006304176517,0.002883003718234467
12,102,100,96,15.472560975609756,0,0,4.3294258402713535,0.0014011672596565663
13,34,32,32,18.217298187808897,0,5597,2.381649364443074,0.8553133756121805
14,106,106,102,12.362264150943396,0,1,3.9230901428718266,0.0035096349165150624
15,45,43,40,26.960812772133526,0,4483,2.4087134683249394,0.8304594303308922
16,35,33,33,23.920510304219825,0,5456,2.418237160379621,0.8308197223607497
17,39,34,32,42.65287539936102,0,5259,2.9062168773769144,0.7991658955617073
18,96,94,91,15.659400544959128,0,4,4.210593757494775,0.0016053976449067198
19,42,41,40,16.85356780520798,0,5171,2.672922328433892,0.8550869182703393
20,95,95,92,11.144329896907216,0,0,3.44986493987049,0.0027554827280202743
21,27,25,25,27.06237698713096,0,6258,2.2095538424641106,0.8108937650542037
22,27,26,26,17.966346629713946,0,9583,3.19729276732792,0.8084356692483483
23,31,29,29,24.155028107432855,0,7509,2.844970980230925,0.8042927113394193
24,36,35,34,21.85684244581042,0,5563,2.8555392469250007,0.7859574730463559
25,98,96,92,17.258160237388726,0,13,4.249693082536746,0.002861326030588404
26,99,94,90,22.494880546075084,0,5,3.5564877513961695,0.0028710992456130267
27,83,80,78,16.113636363636363,0,9,1.1769782437386507,0.005379262982630563
28,43,42,41,16.197081462475946,0,5278,2.551441943330935,0.8303957290940106
29,104,104,99,12.89308176100629,0,1,2.2564070305272894,0.005167017471113793
30,27,24,25,24.670207852193997,0,8238,2.564946859903382,0.8329680623742782
31,101,102,98,9.36111111111111,0,0,4.016352211601055,0.0018342287167390603
33,29,29,29,6.544348090673969,0,6142,3.0276723198684348,0.8259766415597277
34,34,31,31,29.918480492813142,0,4388,1.930643094528386,0.8177936015431965
35,36,36,36,8.314242270653827,0,5207,2.32804906293898,0.8215126881783099
36,35,35,34,9.181233062330623,0,5414,2.3925769691986156,0.8285830301099479
37,36,34,34,17.95947350190509,0,5134,2.554492342481242,0.8474621223198495
38,98,96,93,12.931297709923664,0,2,3.270034741494501,0.0018149886897545137
39,33,30,30,25.21902945033981,0,7594,3.039327097680474,0.8395965664458522
40,38,32,31,50.72799412196914,0,6233,2.85882427107959,0.8270636660514302
41,33,32,32,8.131521342575702,0,5108,2.285902353787645,0.8213611571638741
42,79,76,74,20.696296296296296,0,42,2.4386081474629115,0.003198719826122174
43,35,33,32,30.572876071706936,0,4629,2.586588823791414,0.8292345927343215
44,43,43,42,10.105117340286832,0,5323,3.0330607462226333,0.8255191291586356
45,31,30,30,22.833552343407796,0,4217,1.898426011580498,0.8452075279639671
46,38,37,37,11.559641742434524,0,6710,2.8364926850995307,0.8170198026043235
