ID,R,G,B,Saturação,Claros,Escuros,Textura,Circularidade,ehBom
36,79,76,74,20.696296296296296,0,43,29.76240274715653,0.003198719826122174,1
37,35,33,32,30.572876071706936,0,4713,17.817216004702335,0.8292345927343215,1
38,43,43,42,10.105117340286832,0,5391,17.3812861042272,0.8255191291586356,1
39,31,30,30,22.833552343407796,0,4236,16.79344170317485,0.8452075279639671,1
40,38,37,37,11.559641742434524,0,6753,15.75024710386218,0.8170198026043235,1
41,80,78,75,15.823863636363637,0,47,27.06693188473515,0.0029470872501780403,1
42,92,92,89,12.782051282051283,0,14,26.275478296961467,0.0043515356119350635,1
43,86,84,82,15.25418060200669,0,27,27.231219019164286,0.0026505416201940417,1
44,35,34,33,16.76966473243069,0,5818,15.78509894618053,0.8492836182934353,1
45,87,86,85,9.666666666666666,0,16,27.274454564788456,0.003574580420041374,1
46,28,27,27,17.734112611129405,0,5614,16.93809997773905,0.8341723674155918,1
47,36,36,35,10.323393077873918,0,5816,17.074965698927404,0.859901942336003,1
48,95,92,89,16.0,0,2,21.204986357222435,0.0020352705199454062,1
49,36,36,36,8.626788908765652,0,3889,19.005901956708044,0.8075052763831969,1
50,38,37,36,18.691074419717637,0,3720,19.017575516244754,0.8545712681082599,1
51,30,29,29,10.948369119816423,0,5702,17.700556239016898,0.8189672774961665,1
52,28,26,26,27.559288275129465,0,7117,16.50153932370196,0.7931709313172208,1
53,35,35,34,11.132350934643199,0,6897,15.630456701427768,0.8244638728618482,1
54,31,30,30,9.214619977408423,0,5872,15.877788278274451,0.8076297858461973,1
55,26,24,24,20.690006618133687,0,7160,16.019224489769734,0.8442809099716507,1
56,101,101,99,6.841897233201581,0,2,25.286937443431327,0.0031959566592933124,1
57,29,28,28,14.323079627351028,0,5329,18.068815034888313,0.8355156592988878,1
58,31,30,30,8.852249408050513,0,5946,16.895179021409092,0.8536404280564213,1
59,34,32,31,20.95825771324864,0,5034,18.36301232476813,0.8117097743886297,1
60,92,92,91,6.372469635627531,0,11,23.616729361865723,0.0029330812362278317,1
61,98,94,91,19.394812680115272,0,8,30.413231148463442,0.002638485604021705,1
62,36,36,35,10.779048681824522,0,6710,16.412462546502045,0.8241411066835865,1
63,36,35,35,9.401805869074492,0,6036,16.452908660240325,0.8559626758802883,1
64,28,26,26,25.814319433516914,0,5967,17.226577150181264,0.8084375342739065,1
65,61,54,48,55.916219839142094,0,2879,22.864880295467852,0.8369757838022012,1
66,89,86,82,20.626038781163434,0,36,32.98928776164101,0.0031323014794571737,1
67,44,37,35,56.623600895426925,0,4959,20.045018309286842,0.8575937577327027,1
68,82,80,78,16.52127659574468,0,35,27.155998733056737,0.0019433827816569456,1
69,33,32,31,24.020499108734402,0,5119,17.03771178286755,0.8127340713778157,1
70,93,91,89,13.27007299270073,0,19,27.927057856113212,0.0027801850785624045,1
71,93,90,87,17.970666666666666,0,14,24.45937896913075,0.0018849715565268793,1
72,32,31,29,21.719776174348404,0,6430,15.088404459059447,0.8422789049323732,1
73,83,82,79,14.533536585365853,0,42,28.167994270967473,0.003215290475647657,1
74,33,33,32,10.339257188498403,0,4720,17.625891491687568,0.7964678903772379,1
75,84,82,80,12.955696202531646,0,34,29.45325009698313,0.0017520085895112289,1
76,95,95,93,8.30379746835443,0,7,27.691620840984896,0.0036095193021434863,1
77,36,35,34,17.350255536626918,0,5351,17.811032471785442,0.8097829186858293,1
78,30,29,29,12.305673485140872,0,4882,16.891591017887887,0.8288936698684098,1
79,28,28,28,7.287012825301955,0,7650,15.009695512162713,0.823075527807227,1
80,101,102,101,5.741538461538462,0,0,22.58816781954187,0.0024832913094337845,1
81,29,28,29,10.32930165586753,0,6574,17.14682969819599,0.8500839899764818,1
82,31,30,29,26.1870514135052,0,6360,16.470565500624716,0.852559062771615,1
83,62,60,59,14.134868421052632,0,105,22.830827836626483,0.001960384662667311,1
84,29,28,27,24.998891045189907,0,6701,16.747499314973968,0.8423602210116817,1
85,31,30,30,13.701530612244898,0,5917,15.883046998125291,0.8045458118208884,1
86,33,32,32,12.761811023622048,0,5217,16.84794169101497,0.8327766602015612,1
87,40,40,40,7.683001893939394,0,3798,18.7059915446339,0.7999123916504179,1
88,54,51,47,35.237022526934375,0,2584,20.759667709457666,0.8200016601653048,1
89,27,26,26,21.906283118849355,0,6335,13.725605546171067,0.820420724627055,1
90,36,34,33,22.73448658943025,0,5796,17.09889433132066,0.8158444578205404,1
91,86,84,82,14.260450160771704,0,42,28.589448793825262,0.0020998752262293262,1
92,35,33,31,25.89827742520399,0,5134,17.152740171472765,0.8505499217384118,1
93,78,76,73,17.779467680608366,0,27,25.467838988956732,0.0019206098434171165,1
94,94,94,92,9.59620596205962,0,13,27.643795856003,0.002265466246104176,1
95,25,25,25,9.821625994337333,0,7118,14.588510759424594,0.8206452394512359,1
96,32,31,31,8.326891311529566,0,5667,17.682235515539055,0.8487695921732993,1
97,37,35,35,18.31570030120482,0,4732,17.715650735592014,0.8339686541793175,1
98,90,88,84,17.152737752161382,0,39,29.915746505450915,0.002000000397653313,1
99,28,27,27,13.58834008097166,0,5856,15.966595832076488,0.7970303678965149,1
100,44,39,37,41.05036344755971,0,3001,20.381624684395863,0.7948163874256754,1
101,79,78,77,11.046822742474916,0,44,30.837788244131428,0.0029372086666061494,1
102,31,30,29,17.613299000302938,0,6237,15.495524530681433,0.8226752366758553,1
103,82,81,79,13.145522388059701,0,28,29.727267935340645,0.0022306853584295075,1
104,33,32,31,14.733956062964886,0,5382,17.535524804529647,0.8801349718124573,1
105,67,66,65,16.153284671532848,0,95,36.97207180361913,0.0023335111439558008,1
106,93,92,89,12.716012084592146,0,40,36.38349376415774,0.002646628251724279,1
107,41,40,40,11.526400862068966,0,4785,18.06758407877541,0.8366942680450445,1
108,32,32,31,11.052101646156306,0,5903,16.151557155581298,0.8088193636734975,1
109,65,62,59,30.08675799086758,0,69,26.998113756531684,0.0031735006390175213,1
110,94,92,89,15.25,0,12,26.04428885903809,0.003037695316288709,1
111,86,85,83,10.77445652173913,0,43,31.627904869502657,0.00200590486423393,1
112,89,88,85,10.94047619047619,0,33,32.63281749870449,0.0027900471769568974,1
113,86,84,82,13.783783783783784,0,30,30.230569143404455,0.0026793448233766995,1
114,34,33,31,19.829671011793916,0,7571,16.01560399848981,0.8235481398895096,1
115,39,38,38,12.251541095890412,0,5371,16.289125192889703,0.8628406907236772,1
116,41,39,38,20.732594644506,0,4777,18.965436251066745,0.7986524726620163,1
117,92,89,86,16.61849710982659,0,12,24.152629819843792,0.0033736661242494896,1
118,32,31,31,10.495959749961884,0,6181,16.79427465277541,0.8112456502096778,1
119,103,100,97,17.853211009174313,0,13,33.55031697380831,0.0033533582810555476,1
120,37,36,35,15.886647050581477,0,6509,17.139068689820114,0.8353642220963974,1
121,98,96,93,18.18354430379747,0,8,24.61940791233969,0.0021813182200486423,1
122,40,39,37,23.700033255736614,0,5131,18.208358410528128,0.8260079800359204,1
123,38,36,35,21.434569732937685,0,5958,17.968020166368603,0.8404585032754757,1
124,40,38,36,24.18631492168178,0,6591,15.011832719001816,0.8107522137792041,1
125,39,38,37,19.662370370370372,0,6156,14.72127076655298,0.8539374220139965,1
126,39,38,36,22.38871292830406,0,6087,15.714007335262394,0.8454909837335064,1
127,68,65,63,20.333333333333332,0,38,23.288355459327736,0.006776278632293154,1
128,99,97,93,19.013377926421406,0,7,28.0326396071762,0.0035018253762238386,1
129,42,41,40,10.47534516765286,0,5605,17.62267032168497,0.8499020313325119,1
130,40,39,38,15.418563922942207,0,5205,18.575555995567708,0.7995282186260566,1
131,64,61,60,24.132450331125828,0,49,29.479308064551624,0.0054997773927021616,1
132,80,80,78,15.351063829787234,0,42,41.88805538599183,0.004102097231424678,1
133,98,97,93,14.371681415929203,0,27,35.227184371680394,0.002297112423093229,1
134,101,100,97,16.180790960451976,0,10,31.07935537036057,0.0037533831408756565,1
135,97,96,92,15.849840255591054,0,11,30.306488660139504,0.0018870236220587893,1
136,109,104,100,23.947712418300654,0,4,30.642313133639508,0.001984021548585635,1
137,41,40,38,20.05630165289256,0,5100,17.96283923968557,0.7197950475620059,1
138,81,80,77,16.791411042944784,0,38,27.375474668878,0.0023641206598351257,1
139,39,38,36,19.775230602278892,0,6182,18.573848452335064,0.8522596323848284,1
140,101,99,96,14.207142857142857,0,1,22.335137504545138,0.002318621720484334,1
141,42,41,39,24.185317177476836,0,5024,18.37639403179821,0.8210607894608365,1
142,32,31,30,19.236653049725312,0,6710,16.634756605308336,0.7249683730086108,1
143,40,38,37,21.4907034397273,0,5974,17.677778481933217,0.7947376924456303,1
144,35,33,33,18.46329966329966,0,5535,18.32701840640097,0.8581145976681263,1
145,43,42,40,20.266804856381405,0,5842,17.31453201609524,0.8043756855973009,1
146,35,33,34,17.741532199447594,0,6416,17.57836190985204,0.8326179159371963,1
147,65,64,61,19.671755725190838,0,42,27.79747697405623,0.006044050067351583,1
148,101,100,96,15.459627329192546,0,1,23.428823365328984,0.004397638138788103,1
149,36,34,34,16.888040712468193,0,4683,19.378697543803774,0.8433436216440803,1
150,104,104,99,16.45662100456621,0,7,30.883247624578566,0.0026013571721925127,1
151,34,33,33,14.03130677847659,0,6731,16.240636087887502,0.8387089535686756,1
152,37,36,35,20.737547892720308,0,7077,18.418670548173314,0.846615842215228,1
153,96,94,90,20.222535211267605,0,21,31.2629223748134,0.0025488101390328836,1
154,99,99,95,15.193548387096774,0,33,38.788796110814246,0.0025355182324548315,1
155,55,53,49,32.00403280010754,0,2911,18.945982768217753,0.8114656972633958,1
156,38,35,33,31.415689810640217,0,4975,19.815190931530626,0.820388283888418,1
157,120,110,106,30.544401544401545,0,1,21.955232398962696,0.003094142873120824,1
158,105,101,95,24.12,0,0,22.64230736564268,0.0020359236928654367,1
159,111,108,103,19.389776357827476,0,0,21.56259926124303,0.002493116606191182,1
160,89,86,83,19.22089552238806,0,44,34.0237761009099,0.0030874204323358126,1
161,96,93,91,16.28034682080925,0,7,23.896115254032832,0.0023939901084850555,1
162,34,32,32,21.900326264274064,0,5633,18.04177699625596,0.8371341814811222,1
163,30,27,27,35.04901336728199,0,4441,15.362689901758936,0.869029580149077,1
164,79,77,74,17.929906542056074,0,14,21.12098926281511,0.002949215472472229,1
165,40,38,37,24.550632911392405,0,4063,17.739412945146647,0.8221147040097933,1
166,33,31,32,21.315357036151777,0,6245,15.83844060915213,0.8393041768836181,1
167,35,32,32,26.295684523809523,0,6177,17.82943444528987,0.8433663324553696,1
168,44,41,39,25.91870824053452,0,5518,16.805602510305274,0.8399918533740109,1
169,30,28,29,22.746976448122215,0,5845,17.744821201891305,0.7961444282708667,1
170,84,80,79,18.338557993730408,0,41,27.83785018018199,0.003004962891433964,1
171,92,88,86,19.827205882352942,0,4,22.643522630244647,0.002808191840670509,1
172,34,32,33,18.49920760697306,0,4605,18.693084892608574,0.8279967908565563,1
173,33,32,32,19.99496090356212,0,5303,18.016039183490356,0.844611747291909,1
174,108,105,102,17.5828025477707,0,0,26.459993438947784,0.003200667336151505,1
175,41,38,36,33.97097270280661,0,4511,19.802449775321943,0.8277344828468663,1
176,35,32,32,21.897304914567552,0,5216,17.324400504764704,0.8355598439149543,1
177,95,93,89,16.503731343283583,0,6,22.454197086686317,0.002274414165936447,1
178,80,78,77,16.616129032258065,0,54,28.367666370665347,0.0025091856495003213,1
179,102,99,96,16.587755102040816,0,0,21.00665133356328,0.002734328946716461,1
180,31,29,29,17.429190967548976,0,6238,16.858728496306515,0.8209488906286859,1
181,76,73,72,18.023952095808383,0,55,27.072054298110164,0.002311961170283209,1
182,30,28,28,20.761759511960186,0,5858,16.24193278741576,0.8324609025662605,1
183,32,29,30,24.945462984451147,0,3970,18.20224546537743,0.8286821747920183,1
184,27,25,26,24.77652834969908,0,5963,15.75715574480192,0.8178107586281174,1
185,81,78,75,29.035971223021583,0,49,35.55355741487413,0.0018159098473849529,1
186,32,30,30,23.973643410852713,0,5361,17.366977053387775,0.8258824749151855,1
187,111,110,105,15.886206896551725,0,0,26.26154103352296,0.0032434291936793013,1
188,31,29,30,21.1013094417643,0,5414,17.193708506318266,0.813477713304765,1
189,28,27,27,15.756238587948873,0,6220,14.682790158500227,0.8549873992531454,1
190,100,98,93,19.140065146579804,0,7,21.68764132512037,0.002550053334847002,1
191,31,29,29,23.2525,0,5208,16.98338167330713,0.8564259121143812,1
192,35,31,31,34.59552443294261,0,6061,19.381484509629257,0.8082577362487878,1
193,99,95,94,14.547231270358306,0,5,23.73397866466072,0.003629761210759899,1
194,31,29,30,15.981659094733299,0,5532,17.893442060961398,0.8422742777271691,1
195,36,34,34,19.106591865357643,0,5246,18.658128007029973,0.854544172126537,1
196,31,29,30,21.249255369180123,0,6003,15.917229203917538,0.8154111069141958,1
197,29,27,28,21.29430922180322,0,5483,16.83263102535472,0.8195461657216991,1
198,33,31,30,26.17219798975915,0,4813,18.860502385686924,0.8277006335197095,1
199,86,84,82,14.243445692883896,0,32,27.942968592309388,0.0031487648144344097,1
200,87,84,81,17.99126637554585,0,17,22.028639538925866,0.0032577599695206576,1
201,37,36,35,22.315915363385464,0,4799,17.69533621489446,0.8526453941082975,1
202,33,31,32,19.02010460934946,0,5644,18.4116443716325,0.8258104061315485,1
203,87,84,82,14.87593984962406,0,16,22.77359861885691,0.0018700362663819606,1
204,101,99,96,13.545150501672241,0,2,26.26410395509895,0.002465143402004719,1
205,79,76,75,18.936802973977695,0,42,26.58548567942334,0.002097362177317534,1
206,29,27,28,20.261149573337626,0,5823,16.752064550595602,0.8383773816770625,1
207,83,81,80,12.12094395280236,0,54,28.788649653694176,0.0030673220271470254,1
208,92,90,86,17.32377049180328,0,7,22.96332943609545,0.0021992831095221516,1
209,93,88,85,22.845588235294116,0,12,23.48174284358634,0.0024712872831376695,1
210,74,72,71,12.76,0,21,22.03677834893295,0.006558931100839917,1
211,92,92,89,10.95,0,29,30.153560853452404,0.0031307834775690683,1
212,30,28,28,17.686235267956416,0,4204,19.212094680525798,0.8524354678100082,1
213,34,32,32,23.703258339798293,0,4769,18.722809834146247,0.8351197093523666,1
214,98,94,91,17.658536585365855,0,12,27.703961839769534,0.0025484980163922952,1
215,31,29,29,15.298659003831418,0,4904,16.840601462784452,0.8246971968993823,1
216,35,33,33,21.227738556137552,0,4031,19.619260372657866,0.8069315719814683,1
217,98,96,94,13.363636363636363,0,8,26.859540135165357,0.002030259443229229,1
218,33,31,31,21.66714886901631,0,7075,16.730729866595663,0.8199297262554571,1
219,94,92,89,13.954983922829582,0,12,25.259414619149837,0.0030549391234136612,1
220,29,28,29,10.798942673054684,0,5727,15.865456652372158,0.812619768038564,1
221,32,30,31,19.58602810751808,0,6895,16.95131756660188,0.823313780960775,1
222,31,30,30,8.82656,0,5887,17.451839959660415,0.822059440311621,1
223,89,87,85,12.286274509803922,0,11,25.099719919215595,0.0024282174705403414,1
224,91,89,89,9.469465648854962,0,19,28.921537810749562,0.00255927848278219,1
225,77,76,74,14.794871794871796,0,43,27.123528781777704,0.002483963040757478,1
226,88,87,84,12.849557522123893,0,13,27.252820170041343,0.0037019829749159105,1
227,80,78,77,12.295918367346939,0,54,30.045713278102255,0.002484343247991648,1
228,27,25,26,18.835996382273137,0,6292,16.303150874765112,0.8352595653985199,1
229,90,89,87,11.801948051948052,0,23,27.086039106982316,0.002576827694336678,1
230,35,34,33,14.730393752033843,0,5748,16.639690319952013,0.8327131515798433,1
231,41,39,38,23.690787087413856,0,4842,26.408238052801593,0.805610196336393,1
232,94,89,86,20.6045197740113,0,19,30.5183913575153,0.006073268209839195,1
233,82,81,79,11.188461538461539,0,19,26.352472852538657,0.0019509555680719086,1
234,102,99,96,15.215613382899628,0,10,31.155864809001756,0.0037267716321887994,1
235,25,24,25,11.751665926254997,0,6439,14.49070750210167,0.852838335881575,1
236,40,39,36,28.17153284671533,0,2548,24.54469709031111,0.8361066386495416,1
237,30,28,28,16.068627450980394,0,4677,19.160733228582192,0.8207915618591975,1
238,85,84,82,11.19548872180451,0,33,28.091945214706442,0.002154281670603849,1
239,35,33,33,17.53969526864475,0,5797,17.449933726153485,0.8245049822646034,1
240,27,26,26,16.851052538475145,0,5338,17.469162808504862,0.831430108296037,1
241,27,26,27,12.126211546565528,0,4446,18.332658382382625,0.8382855862013859,1
242,34,33,33,19.91286307053942,0,4900,18.08188156135209,0.8508054240094103,1
243,32,30,31,13.888688410825816,0,6841,15.40175490901621,0.826029719622528,1
244,35,33,33,14.968427207172091,0,4690,17.518364916948386,0.8202193605433747,1
245,39,37,35,24.707883817427387,0,4351,18.670105455460458,0.8329721224930307,1
246,31,29,30,22.083496732026145,0,5701,18.7523399539513,0.8151144035425605,1
247,30,28,28,18.526603773584906,0,4961,19.159942686187375,0.810350034992627,1
248,32,30,31,15.113384351085429,0,6042,16.838126757174486,0.8134698276160743,1
249,37,35,35,18.66336822074215,0,4853,18.264875157663095,0.8419144868634938,1
250,94,92,90,11.89344262295082,0,7,26.50954855024023,0.00249440143589643,1
251,29,28,28,5.148216939078752,0,5057,18.196657909036038,0.8350820290704314,1
252,36,35,35,17.17005032101336,0,5333,18.116342831014173,0.8179910545676281,1
253,42,41,39,21.4247491638796,0,3795,17.966282651039105,0.851068368445084,1
254,89,86,82,21.64566929133858,0,20,27.02321279951849,0.0031770577827413774,1
255,30,29,29,11.2935803095661,0,3603,20.49275710705009,0.7762649412289357,1
256,93,91,88,14.611464968152866,0,23,27.881500463134763,0.0018580884600204416,1
257,93,91,89,11.308196721311475,0,18,28.2714841856536,0.002506281219712736,1
258,33,31,31,14.342614355451094,0,5140,18.322498074690262,0.827542238717672,1
259,27,26,26,9.984481971702419,0,6235,14.910557962556831,0.8132662053215971,1
260,40,38,37,24.60580389329488,0,4747,19.135322887457303,0.7985091213943649,1
261,38,37,35,21.02698535080956,0,5365,16.126711466808082,0.8163727297078157,1
262,35,34,33,19.917238001958864,0,5710,18.125675738456525,0.8314692353459986,1
263,31,28,28,31.05505485893417,0,4773,16.20571364594668,0.7958167357606648,1
264,33,31,31,21.730486309767063,0,4561,18.09168260563918,0.8194996111028201,1
265,29,28,28,14.018305191731104,0,5979,17.357132438887245,0.7750501726774891,1
