ID,R,G,B,Saturação,Claros,Escuros,Textura,Circularidade,ehBom
0,108,108,102,16.148809523809526,0,1,19.146617730595185,0.0045985968589570304,0
1,42,40,37,32.97732074940132,0,5746,17.26876687510399,0.8228825977025839,0
2,51,48,43,39.21301596866526,0,4394,17.536211445780104,0.7689792830146793,0
3,85,84,80,21.471910112359552,0,25,32.37135835210517,0.0032222189851358264,0
4,95,94,89,18.597633136094675,0,11,20.890168637140683,0.002760300184751929,0
5,95,95,91,13.52017937219731,0,1,15.736211285863336,0.0018662790566667175,0
6,104,101,95,21.657738095238095,0,0,20.06390371852656,0.0013073939586308958,0
7,36,33,31,37.52079583135954,0,8680,20.284838847974502,0.7989931776485363,0
8,100,100,96,12.7439446366782,0,1,17.910741871660882,0.00256600842072438,0
9,98,96,91,18.942028985507246,0,32,36.947572801143785,0.0019265070024976775,0
10,98,95,90,19.865384615384617,0,1,16.677707191330686,0.0022532446587421105,0
11,41,39,36,31.694895073671677,0,5829,18.700215547956244,0.7455572561024522,0
12,91,61,47,124.87714160199151,0,1354,22.23307017392047,0.8157901185404647,0
13,91,90,85,19.440366972477065,0,14,24.06407075603303,0.0022297574276709145,0
14,41,40,37,27.669414083497582,0,4592,19.271353902275397,0.8227053924587284,0
15,95,93,89,16.790055248618785,0,0,18.46258086065604,0.0024103324660174298,0
16,103,102,97,15.741839762611276,0,2,17.191046303610552,0.0020477035100543387,0
17,99,99,94,14.435028248587571,0,0,19.676998707751387,0.0023168914686584937,0
18,113,112,107,16.881410256410255,0,0,17.233451587899584,0.0024199103333018054,0
19,40,39,35,31.56657649534115,0,5722,17.03311426520613,0.8220397580955358,0
20,36,35,32,28.087052515376122,0,5552,16.871888678971125,0.826560011532322,0
21,32,31,30,20.618678203789347,0,6017,18.54687890183269,0.7981722741402523,0
22,91,77,58,96.96521739130435,0,8,19.83981980526744,0.009327298313070831,0
23,36,36,34,22.686878037491322,0,3843,19.311827695464366,0.8067705102479329,0
24,123,113,102,37.005102040816325,0,0,32.982469107539856,0.005222205765434251,0
25,102,99,92,28.129692832764505,0,7,21.33055999418617,0.00205673953971217,0
26,40,38,35,36.19551880501467,0,6463,17.681065050051647,0.7845761285413979,0
27,38,37,34,26.18062418725618,0,6809,16.7740576343979,0.8066109970107989,0
28,92,90,85,23.31270358306189,0,16,25.100034559189726,0.0027749897852454857,0
29,103,103,99,12.87936507936508,0,0,21.791590788084605,0.002533197252409818,0
30,98,98,93,15.39568345323741,0,0,20.1982091230351,0.003297144333272368,0
31,95,93,89,21.078034682080926,0,19,27.515689029555944,0.003044958419462073,0
32,32,31,29,27.452868165045288,0,8236,17.139249511860015,0.8217654959981731,0
33,84,84,81,13.68693009118541,0,37,28.150278335729855,0.0024719967913673507,0
34,41,38,36,28.89573651242675,0,7814,22.91981676489064,0.8157646695657361,0
35,167,153,135,49.476190476190474,0,0,18.724576934101986,0.0030485886528156063,0
36,91,90,86,13.660869565217391,0,11,23.08241214588696,0.0028046567935791546,0
37,91,90,86,13.38953488372093,0,30,30.894587209761305,0.0024068067254143957,0
38,90,90,86,21.14814814814815,0,42,34.00613327468867,0.0026939220823142145,0
39,83,82,80,9.74609375,0,25,26.01752732112092,0.0030829414235840555,0
40,34,32,30,31.316527493303923,0,5715,17.620776337458864,0.8338406195714024,0
41,150,140,125,45.02368421052632,0,0,24.513982668272977,0.003175738983385567,0
42,79,74,67,37.85753424657534,0,70,29.45183000869937,0.0019663177080665893,0
43,43,41,38,29.852315061202766,0,2901,22.43785952211054,0.807001362296855,0
44,72,71,69,21.459143968871594,0,48,30.018766556804245,0.003086035979293433,0
